name,price,manufacturer,created,manufacture_year,origin,city,body_type,mileage,transmission,condition,fuel,price_zscore,mileage_zscore
"THACO LINKER T2‑6.5 — NÂNG TẦM VẬN TẢI, TIẾT KIỆM VƯỢT TRỘI",420.0,Thaco,2025-09-08,2025,Lắp ráp trong nước,Bình Dương,Wagon,0.0,Số sàn,Xe mới,Dầu,-0.2910190883985824,-0.06298952759161776
2010 Mercedes-Benz C250 CGI 1.8,245.0,Mercedes-Benz,2025-08-12,2010,Nhập khẩu,Hồ Chí Minh,Sedan,120000.0,Tự động,Đã qua sử dụng,Xăng,-0.489885489498438,0.015500501112116753
BMW X6 xDrive40i Msport 2022,3499.0,BMW,2025-10-04,2022,Nhập khẩu,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,3.20789319152402,-0.06298952759161776
Toyota Vios 1.5 E CVT 2020,330.0,Toyota,2025-10-04,2020,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.39329323753565104,-0.06298952759161776
Toyota Corolla Cross 1.8 V 2023,760.0,Toyota,2025-10-04,2023,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.09534991945256562,-0.06298952759161776
Hyundai Accent 1.4 AT Đặc biệt 2023,465.0,Hyundai,2025-10-04,2023,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.23988201383004812,-0.06298952759161776
Toyota Corolla Altis 2003,125.0,Toyota,2025-10-04,2003,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.6262510216811962,-0.06298952759161776
Ford Everest Titanium 2.2L 4x2 AT 2022,1140.0,Ford,2025-10-04,2022,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.5271741046979663,-0.06298952759161776
Volkswagen Tiguan Allspace 2016,600.0,Volkswagen,2025-10-04,2016,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.08647079012444522,-0.06298952759161776
Mitsubishi Triton Athlete 4x4 AT 2021,680.0,Mitsubishi,2025-10-04,2021,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.004439564664060193,-0.06298952759161776
Hyundai Grand i10 Hatchback 1.2 MT Base 2022,280.0,Hyundai,2025-10-04,2022,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.4501122092784669,-0.06298952759161776
VinFast LUX A2.0 Ti&#234;u chuẩn 2022,540.0,VinFast,2025-10-04,2022,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.1546535562158243,-0.06298952759161776
VinFast Fadil Ti&#234;u Chuẩn 2021,300.0,VinFast,2025-10-04,2021,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.4273846205813406,-0.06298952759161776
Chevrolet Spark 2017,115.0,Chevrolet,2025-10-04,2017,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.6376148160297593,-0.06298952759161776
Mazda CX-8 2025,949.0,Mazda,2025-10-03,2025,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.31012563264040965,-0.06298952759161776
Mitsubishi Attrage CVT 2021,350.0,Mitsubishi,2025-10-03,2021,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.37056564883852466,-0.06298952759161776
Chevrolet Cruze 2017,190.0,Chevrolet,2025-10-03,2017,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.5523863584155355,-0.06298952759161776
Subaru Forester 2.0i-S EyeSight 2024,919.0,Subaru,2025-10-03,2024,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.27603424959472017,-0.06298952759161776
Subaru Forester 2.0i-S EyeSight 2024,919.0,Subaru,2025-10-03,2024,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.27603424959472017,-0.06298952759161776
Subaru Crosstrek 2024,899.0,Subaru,2025-10-03,2024,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.2533066608975938,-0.06298952759161776
Subaru Crosstrek 2024,899.0,Subaru,2025-10-03,2024,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.2533066608975938,-0.06298952759161776
Subaru Crosstrek 2024,899.0,Subaru,2025-10-03,2024,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.2533066608975938,-0.06298952759161776
Subaru Outback 2.5i-T EyeSight 2025,1759.0,Subaru,2025-10-03,2025,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,1.230592974874027,-0.06298952759161776
Subaru Forester 2.0i-S EyeSight 2024,919.0,Subaru,2025-10-03,2024,Không xác định,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.27603424959472017,-0.06298952759161776
Honda City RS 2021,450.0,Honda,2025-10-03,2021,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.2569277053528929,-0.06298952759161776
Toyota Fortuner 2014,500.0,Toyota,2025-10-03,2014,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.200108733610077,-0.06298952759161776
Toyota Innova 2.0E 2018,420.0,Toyota,2025-10-03,2018,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.2910190883985824,-0.06298952759161776
Hyundai Grand i10 1.0 AT 2014,135.0,Hyundai,2025-10-03,2014,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.614887227332633,-0.06298952759161776
Hyundai Tucson 2.0 Đặc biệt 2025,805.0,Hyundai,2025-10-03,2025,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.1464869940210999,-0.06298952759161776
BMW 320i 2015,550.0,BMW,2025-10-03,2015,Nhập khẩu,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.1432897618672611,-0.06298952759161776
Mitsubishi Xpander AT Premium 2022,530.0,Mitsubishi,2025-10-03,2022,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.16601735056438746,-0.06298952759161776
Ford Everest Limited 2013,355.0,Ford,2025-10-03,2013,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.3648837516642431,-0.06298952759161776
Hyundai Creta 1.5L Đặc biệt 2022,590.0,Hyundai,2025-10-03,2022,Lắp ráp trong nước,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,-0.09783458447300841,-0.06298952759161776
Mercedes-Benz GLC 300 2017,1150.0,Mercedes-Benz,2025-10-03,2017,Nhập khẩu,Hồ Chí Minh,Coupe,0.0,Số sàn,Xe mới,Xăng,0.5385378990465296,-0.06298952759161776
